"speciesFixed","total_obs","user_obs","kingdom","phylum","class","order","family","genus","category","inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","Category"
"Polygonum marinense",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Polygonum","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marin Knotweed","Present","Plant"
"Polygonum paronychia",2,2,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Polygonum","Plant",60734,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Dune Knotweed","Present","Plant"
"Polyorchis penicillatus",1,1,"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Polyorchidae","Polyorchis","Invertebrate",51640,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Polypodium",NA,NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","Polypodium","Invertebrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Invertebrate"
"Polypodium californicum",NA,NA,"Plantae","Pteridophyta","Filicopsida","Polypodiales","Polypodiaceae","Polypodium","Plant",57216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Polypody","Present","Plant"
"Polypodium scouleri",15,14,"Plantae","Pteridophyta","Filicopsida","Polypodiales","Polypodiaceae","Polypodium","Plant",64288,0,2,0,0,0,1,1,0,3,4,3,1,0,0,0,0,1,2,1,2,4,5,0,"Leather-leaf Fern, leathery polypody","Present","Plant"
"Polypogon australis",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Polypogon","Plant",78694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilean rabbitsfoot grass, Chilean rabbit's-foot grass","Probably Present","Plant"
"Polypogon interruptus",NA,NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Polypogon","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ditch Beard Grass","Present","Plant"
"Polypogon monspeliensis",2,2,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Polypogon","Plant",57197,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"annual rabbitsfoot grass, Rabbitfoot Grass","Present","Plant"
"Polypogon viridis",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Polypogon","Plant",64144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"beardless rabbitsfoot grass, beardless rabbit'sfootgrass, water bentgrass","Present","Plant"
"Polystichum californicum",NA,NA,"Plantae","Pteridophyta","Filicopsida","Polypodiales","Dryopteridaceae","Polystichum","Plant",63867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California swordfern","Probably Present","Plant"
"Polystichum munitum",20,17,"Plantae","Pteridophyta","Filicopsida","Polypodiales","Dryopteridaceae","Polystichum","Plant",47751,3,3,3,2,1,3,1,0,2,1,0,1,0,0,0,0,0,0,0,4,6,8,2,"Western Swordfern","Present","Plant"
"Pomoxis nigromaculatus",NA,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Pomoxis","Fish",49594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"black crappie","Present","Fish"
"Pontania californica",1,1,"Animalia","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Pontania","Invertebrate",84196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Pooecetes gramineus",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Pooecetes","Bird",10168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vesper Sparrow","Present","Bird"
"Populus alba",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Plant",47570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White Poplar","Unconfirmed","Plant"
"Porcellio dilatatus",1,1,"Animalia","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio","Invertebrate",339101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
"Porcellio scaber",2,2,"Animalia","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio","Invertebrate",122238,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA
"Porichthys notatus",NA,NA,"Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","Fish",60021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plainfin midshipman","Present","Fish"
"Portunus xantusii",1,1,"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Portunus","Invertebrate",179834,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Porzana carolina",NA,NA,"Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Bird",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sora","Present","Bird"
"Postelsia palmaeformis",1,1,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Postelsia","Microbe",67422,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
"Potamogeton foliosus",NA,NA,"Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafy pondweed","Unconfirmed","Plant"
"Potamogeton nodosus",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Plant",59108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-leaved Pondweed","Present","Plant"
"Potamogeton pusillus",NA,NA,"Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"small pondweed","Unconfirmed","Plant"
"Potentilla anserina",12,9,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Plant",62216,0,0,0,2,3,2,5,0,0,0,0,0,0,0,1,0,0,1,3,2,1,4,0,NA,NA,NA
"Potentilla indica",4,4,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Plant",243824,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,NA,NA,NA
"Poterium sanguisorba",NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Poterium","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"garden burnet","Present","Plant"
"Pritchardomyia vespoides",1,1,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Pritchardomyia","Invertebrate",505694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Procyon lotor",4,3,"Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Mammal",41663,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,"common raccoon, northern raccoon, Raccoon","Present","Mammal"
"Progne subis",1,1,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Progne","Bird",11867,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Purple Martin","Present","Bird"
"Prosartes hookeri",1,1,"Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Prosartes","Plant",51071,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
"Prosartes smithii",NA,NA,"Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Prosartes","Plant",57506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"large-flowered fairy bells","Present","Plant"
"Protonotaria citrea",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Protonotaria","Bird",10729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prothonotary Warbler","Present","Bird"
"Protoparmeliopsis pinguis",2,2,"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Protoparmeliopsis","Fungi",532182,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA
"Protothaca staminea",NA,NA,"Animalia","Mollusca","Bivalvia","Veneroida","Veneridae","Leukoma","Invertebrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Invertebrate"
"Prunella vulgaris",32,22,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Prunella","Plant",52764,0,0,1,0,6,9,12,3,0,0,1,0,0,0,0,0,0,0,2,4,6,20,0,"Large-flowered Selfheal","Present","Plant"
"Prunus cerasifera",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Plant",55837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cherry Plum","Present","Plant"
"Prunus ilicifolia",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Plant",57250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hollyleaf cherry, Holly-leafed Cherry","Present","Plant"
"Psaltriparus minimus",2,2,"Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Psaltriparus","Bird",7266,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"Bushtit","Present","Bird"
"Pseudacris regilla",NA,NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Herp",24259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific chorus frog","Present","Herp"
"Pseudacris sierra",12,7,"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Herp",120720,0,4,2,2,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,2,3,3,NA,NA,NA
"Pseudoceros luteus",1,1,"Animalia","Platyhelminthes","Turbellaria","Polycladida","Pseudocerotidae","Pseudoceros","Invertebrate",63305,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Pseudocyphellaria anthraspis",NA,NA,"Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Lobariaceae","Anomalobaria","Fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Fungi"
"Pseudognaphalium californicum",2,2,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Pseudognaphalium","Plant",53077,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"California cudweed","Present","Plant"
"Pseudognaphalium canescens",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Pseudognaphalium","Plant",53080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wright's cudweed","Present","Plant"
"Pseudognaphalium luteoalbum",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Pseudognaphalium","Plant",53083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Jersey cudweed","Present","Plant"
"Pseudognaphalium ramosissimum",2,1,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Pseudognaphalium","Plant",53088,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"pink cudweed","Present","Plant"
"Pseudognaphalium stramineum",4,4,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Pseudognaphalium","Plant",53089,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,"cotton batting cudweed","Present","Plant"
"Pseudorca crassidens",NA,NA,"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Pseudorca","Mammal",41539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False Killer Whale","Unconfirmed","Mammal"
"Pseudostellaria jamesiana",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Pseudostellaria","Plant",78767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sticky starwort, sticky-starwort, tuber starwort","Probably Present","Plant"
"Pseudotsuga menziesii",6,6,"Plantae","Pinophyta","Pinopsida","Pinales","Pinaceae","Pseudotsuga","Plant",48256,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,"Douglas-fir","Present","Plant"
"Psilocarphus chilensis",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Psilocarphus","Plant",64158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"round woolly-marbles","Present","Plant"
"Psilocarphus tenellus",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Psilocarphus","Plant",53188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"slender woolly-marbles","Present","Plant"
"Pteridium aquilinum",15,9,"Plantae","Pteridophyta","Filicopsida","Polypodiales","Dennstaedtiaceae","Pteridium","Plant",52681,0,1,3,1,0,1,1,1,3,2,2,0,0,0,0,0,0,1,0,3,3,8,0,"Bracken, hairy brackenfern","Present","Plant"
"Pterodroma inexpectata",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Bird",4037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mottled Petrel","Probably Present","Bird"
"Pterodroma phaeopygia",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galapagos Petrel","Unconfirmed","Bird"
"Pterostegia drymarioides",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Pterostegia","Plant",53191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Granny's Hairnet","Present","Plant"
"Ptychoramphus aleuticus",NA,NA,"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Ptychoramphus","Bird",4547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cassin's Auklet","Present","Bird"
"Puccinellia nutkaensis",NA,NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Puccinellia","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska Alkali Grass","Unconfirmed","Plant"
"Puffinus auricularis",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'A'o, Manx, Newell's Townsend's Shearwater, Townsend's Shearwater","Unconfirmed","Bird"
"Puffinus bulleri",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Buller's Shearwater","Present","Bird"
"Puffinus carneipes",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flesh-footed Shearwater","Unconfirmed","Bird"
"Puffinus creatopus",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pink-footed Shearwater","Probably Present","Bird"
"Puffinus griseus",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sooty Shearwater","Present","Bird"
"Puffinus opisthomelas",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Bird",4105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black-vented Shearwater","Unconfirmed","Bird"
"Puffinus puffinus",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Bird",4093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manx Shearwater","Unconfirmed","Bird"
"Puffinus tenuirostris",NA,NA,"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short-tailed Shearwater","Probably Present","Bird"
"Pugettia gracilis",NA,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia","Invertebrate",130344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graceful kelp crab","Present","Invertebrate"
"Pugettia producta",3,2,"Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia","Invertebrate",49723,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"northern kelp crab","Present","Invertebrate"
"Pugettia richii",NA,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Pugettia","Invertebrate",49726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cryptic kelp crab","Present","Invertebrate"
"Puma concolor",NA,NA,"Animalia","Chordata","Mammalia","Carnivora","Felidae","Puma","Mammal",42007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cougar, mountain lion, Puma","Present","Mammal"
"Pyracantha angustifolia",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Pyracantha","Plant",54053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Firethorn","Unconfirmed","Plant"
"Pyrausta insequalis",1,1,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Pyrausta","Invertebrate",491839,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Pyrgus communis",4,4,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Invertebrate",51349,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,NA,NA,NA
"Pyrgus ruralis",1,1,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Invertebrate",83543,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
"Pyrrharctia isabella",5,5,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pyrrharctia","Invertebrate",59675,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,NA,NA,NA
"Quercus agrifolia",13,10,"Plantae","Magnoliophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Plant",47850,0,1,0,1,1,0,0,1,1,6,2,0,0,0,0,0,0,1,1,2,1,8,0,"California live oak, Coast Live Oak","Present","Plant"
"Quercus chrysolepis",1,1,"Plantae","Magnoliophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Plant",51092,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Canyon Live Oak","Present","Plant"
"Quiscalus quiscula",NA,NA,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Bird",9602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Grackle","Unconfirmed","Bird"
"Rafinesquia californica",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Rafinesquia","Plant",53193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California chicory, California plumseed","Unconfirmed","Plant"
"Raja binoculata",NA,NA,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Fish",111517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"big skate","Present","Fish"
"Raja inornata",NA,NA,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California skate","Present","Fish"
"Rallus limicola",1,1,"Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Bird",243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Virginia Rail","Present","Bird"
"Rallus longirostris",NA,NA,"Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","Bird",367714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clapper Rail","Present","Bird"
"Ramalina canariensis",1,1,"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","Fungi",203993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
"Ramalina leptocarpha",2,1,"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","Fungi",203093,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA
"Ramalina menziesii",20,17,"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","Fungi",49578,1,0,2,1,6,0,1,2,1,1,5,0,0,0,0,0,0,1,0,2,3,14,0,NA,NA,NA
"Ramalina pollinaria",2,1,"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","Fungi",117894,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"","Present","Fungi"
"Ramaria stricta",1,1,"Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Ramaria","Fungi",54228,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"Rana aurora",NA,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Herp",25545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Red-legged Frog","Present","Herp"
"Rana boylii",4,2,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Herp",25646,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,"Foothill Yellow-legged Frog","Not In Park","Herp"
"Rana catesbeiana",NA,NA,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American Bullfrog, Bullfrog","Present","Herp"
"Rana draytonii",5,4,"Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Herp",67016,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,NA,NA,NA
"Ranunculus aquatilis",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Plant",78817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water buttercup","Present","Plant"
"Ranunculus californicus",6,4,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Plant",52173,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,"California Buttercup","Present","Plant"
"Ranunculus flammula",2,2,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Plant",81330,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Creeping Buttercup, greater creeping spearwort","Present","Plant"
"Ranunculus lobbii",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Plant",68424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lobb's Aquatic Buttercup","Present","Plant"
