"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","original.inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","speciesTidy","matched.inat.ID","taxizeName","scrapediNatName"
"Rumex conglomeratus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clustered dock, Green Dock","Present","Rumex conglomeratus","57215",NA,NA
"Rumex crassus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",6,4,61087,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,"fleshy willow dock, seashore willow dock","Present","Rumex crassus","61087",NA,NA
"Rumex crispus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",1,1,53197,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Curly Dock","Present","Rumex crispus","53197",NA,NA
"Rumex fueginus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seaside dock, golden dock","Present","Rumex fueginus","78903",NA,NA
"Rumex occidentalis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Dock","Present","Rumex occidentalis","61086",NA,NA
"Rumex pulcher","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fiddle Dock","Present","Rumex pulcher","60232",NA,NA
"Rumex salicifolius","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",2,2,60233,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"willow dock","Present","Rumex salicifolius","60233",NA,NA
"Rumex salicifolius","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",2,2,60233,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Pacific willow dock","Probably Present","Rumex transitorius","60233","Rumex salicifolius",NA
"Ruppia cirrhosa","Plant","Plantae","Tracheophyta","Liliopsida","Alismatales","Ruppiaceae","Ruppia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ditch-grass","Unconfirmed","Ruppia cirrhosa","61089","Ruppia cirrhosa","Ruppia cirrhosa"
"Ruppia maritima","Plant","Plantae","Magnoliophyta","Liliopsida","Alismatales","Ruppiaceae","Ruppia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wigeon Grass","Present","Ruppia maritima","61090",NA,NA
"Russula brevipes","Fungi","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",2,2,118179,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"Russula cremoricolor","Fungi","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",1,1,118187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"Russula fragrantissima","Fungi","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",1,1,154448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Russula sanguinea","Fungi","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",2,2,352308,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Russula silvicola","Fungi","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",1,1,203672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Ruta chalepensis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Rutaceae","Ruta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Rue","Probably Present","Ruta chalepensis","78917",NA,NA
"Rynchops niger","Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Rynchops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Skimmer","Present","Rynchops niger","4496",NA,NA
"Rytidosperma penicillatum","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Rytidosperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"purple-awned wallaby grass","Unconfirmed","Rytidosperma penicillatum","78919",NA,NA
"Sagina decumbens","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Sagina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Pearlwort","Present","Sagina decumbens","57004",NA,NA
"Sagina maxima","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Sagina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coastal Pearlwort","Present","Sagina maxima","78922",NA,NA
"Sagina procumbens","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Sagina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arctic Pearlwort","Probably Present","Sagina procumbens","55667",NA,NA
"Sagittaria latifolia","Plant","Plantae","Magnoliophyta","Liliopsida","Alismatales","Alismataceae","Sagittaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"broadleaf arrowhead","Present","Sagittaria latifolia","48070",NA,NA
"Salicornia pacifica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Salicornia",4,3,78931,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,"Pacific pickleweed","Present","Salicornia pacifica","78931",NA,NA
"Salix bicolor","Plant","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"willow","Unconfirmed","Salix bicolor","339977","Salix bicolor","Salix bicolor"
"Salix exigua","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Narrow-leaved Willow","Unconfirmed","Salix exigua","59008",NA,NA
"Salix laevigata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red Willow","Present","Salix laevigata","58319",NA,NA
"Salix lasiandra","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific willow","Present","Salix lasiandra","78943",NA,NA
"Salix lasiolepis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arroyo Willow","Present","Salix lasiolepis","53452",NA,NA
"Salix sitchensis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Salicaceae","Salix",1,1,61100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Sitka Willow","Present","Salix sitchensis","61100",NA,NA
"Salpichroa origanifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Solanaceae","Salpichroa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lily-of-the-Valley Vine","Present","Salpichroa origanifolia","78954",NA,NA
"Salpinctes obsoletus","Bird","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Salpinctes",2,2,7486,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"Rock Wren","Present","Salpinctes obsoletus","7486",NA,NA
"Salsola soda","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Salsola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salty Shrub","Unconfirmed","Salsola soda","78960",NA,NA
"Sambucus nigra","Plant","Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Adoxaceae","Sambucus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue elderberry","Present","Sambucus nigra","52690",NA,NA
"Sambucus racemosa","Plant","Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Adoxaceae","Sambucus",10,8,57824,0,0,3,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,4,2,"red elderberry","Present","Sambucus racemosa","57824",NA,NA
"Sanicula arctopoides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Sanicula",17,13,55466,1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,7,"Footsteps-of-Spring","Present","Sanicula arctopoides","55466",NA,NA
"Sanicula bipinnatifida","Plant","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Sanicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red Sanicle","Present","Sanicula bipinnatifida","56840",NA,NA
"Sanicula crassicaulis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Sanicula",4,3,53201,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Pacific Sanicle","Present","Sanicula crassicaulis","53201",NA,NA
"Sarcoscypha coccinea","Fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha",10,8,49134,5,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,4,NA,NA,NA,NA,NA,NA
"Saxidomus nuttalli","Invertebrate","Animalia","Mollusca","Bivalvia","Veneroida","Veneridae","Saxidomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Saxidomus nuttalli","117608",NA,NA
"Sayornis nigricans","Bird","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis",15,11,17013,3,0,1,1,1,0,1,0,2,2,2,2,0,0,0,1,0,1,2,4,5,2,0,"Black Phoebe","Present","Sayornis nigricans","17013",NA,NA
"Sayornis phoebe","Bird","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis",1,1,17008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Eastern Phoebe","Unconfirmed","Sayornis phoebe","17008",NA,NA
"Sayornis saya","Bird","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis",6,6,17009,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,3,2,1,"Say's Phoebe","Present","Sayornis saya","17009",NA,NA
"Scabiosa atropurpurea","Plant","Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Scabiosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pincushion Flower","Unconfirmed","Scabiosa atropurpurea","78988",NA,NA
"Scandix pecten-veneris","Plant","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Scandix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shepherd's Needle, shepherdsneedle","Present","Scandix pecten-veneris","56843",NA,NA
"Scapanus latimanus","Mammal","Animalia","Chordata","Mammalia","Eulipotyphla","Talpidae","Scapanus",1,1,46994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Broad-footed Mole","Present","Scapanus latimanus","46994",NA,NA
"Scathophaga stercoraria","Invertebrate","Animalia","Arthropoda","Insecta","Diptera","Scathophagidae","Scathophaga",4,4,132718,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,NA,NA,NA,NA,NA,NA
"Sceloporus occidentalis","Herp","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus",21,16,36204,0,0,1,3,3,0,7,4,0,2,1,0,0,0,0,0,0,1,0,7,3,9,1,"Western Fence Lizard","Present","Sceloporus occidentalis","36204",NA,NA
"Sceptridium multifidum","Plant","Plantae","Pteridophyta","","Ophioglossales","Ophioglossaceae","Sceptridium",1,1,78990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"Sceptridium multifidum","Plant","Viridiplantae","Streptophyta","Polypodiopsida","Ophioglossales","Ophioglossaceae","Sceptridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leathery Gapefern, leathery grapefern","Present","Botrychium multifidum","78990","Sceptridium multifidum","Sceptridium multifidum"
"Schizothrix coriacea","Microbe","Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Oscillatoriaceae","Schizothrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Schizothrix coriacea",NA,"Schizothrix coriacea",NA
"Schoenoplectus acutus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Schoenoplectus",1,1,59205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"common tule, hard-stem bulrush","Present","Schoenoplectus acutus","59205",NA,NA
"Schoenoplectus americanus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Schoenoplectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American tule, American three-square bulrush","Present","Schoenoplectus americanus","59066",NA,NA
"Schoenoplectus californicus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Schoenoplectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California tule, California bulrush","Present","Schoenoplectus californicus","47159",NA,NA
"Schoenoplectus maritimus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Schoenoplectus",1,1,168629,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Scirpus microcarpus","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Cyperaceae","Scirpus",2,2,59068,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"panicled bulrush, Small-fruited Bulrush","Present","Scirpus microcarpus","59068",NA,NA
"Scirpus pungens","Plant","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Scirpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Common Threesquare","Present","Scirpus pungens",NA,NA,NA
"Sciurus griseus","Mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus",6,6,46023,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,2,2,1,0,"Western Gray Squirrel","Present","Sciurus griseus","46023",NA,NA
"Scoliopus bigelovii","Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus",1,1,48990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Scomber japonicus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific mackerel","Probably Present","Scomber japonicus","69840",NA,NA
"Scorpaenichthys marmoratus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cabezon, giant marbled sculpin","Present","Scorpaenichthys marmoratus","47638",NA,NA
"Scrophularia californica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Scrophularia",20,11,50812,0,1,1,4,5,2,6,1,0,0,0,0,0,0,0,0,0,1,3,4,2,8,2,"California Figwort","Present","Scrophularia californica","50812",NA,NA
"Scutellinia scutellata","Fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia",2,2,49137,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
"Scyra acutifrons","Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Pisidae","Scyra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sharpnose crab","Present","Scyra acutifrons","47712",NA,NA
"Sebastes atrovirens","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kelp rockfish","Present","Sebastes atrovirens","64481",NA,NA
"Sebastes auriculatus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brown rockfish","Present","Sebastes auriculatus","117541",NA,NA
"Sebastes carnatus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gopher rockfish","Probably Present","Sebastes carnatus","64455",NA,NA
"Sebastes caurinus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"copper rockfish","Present","Sebastes caurinus","68597",NA,NA
"Sebastes flavidus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowtail rockfish","Present","Sebastes flavidus","64477",NA,NA
"Sebastes melanops","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"black rockfish","Present","Sebastes melanops","47760",NA,NA
"Sebastes miniatus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vermilion rockfish","Probably Present","Sebastes miniatus","64474",NA,NA
"Sebastes mystinus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue rockfish","Present","Sebastes mystinus","64471",NA,NA
"Sebastes nebulosus","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"China rockfish","Present","Sebastes nebulosus","68618",NA,NA
"Sebastes paucispinis","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bocaccio","Present","Sebastes paucispinis","112421",NA,NA
"Sebastes pinniger","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"canary rockfish","Probably Present","Sebastes pinniger","64465",NA,NA
"Sebastes rastrelliger","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grass rockfish","Probably Present","Sebastes rastrelliger","64446",NA,NA
"Sebastes wilsoni","Fish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pygmy rockfish","Present","Sebastes wilsoni","117523","Sebastes wilsoni","Sebastes wilsoni"
"Sedum spathulifolium","Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Sedum",1,1,58886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"broadleaf stonecrop, Pacific Stonecrop","Present","Sedum spathulifolium","58886",NA,NA
"Seiurus aurocapilla","Bird","Animalia","Chordata","Aves","Passeriformes","Parulidae","Seiurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ovenbird","Present","Seiurus aurocapillus","62550","Seiurus aurocapilla",NA
"Selaginella wallacei","Plant","Plantae","Lycopodiophyta","Lycopodiopsida","Selaginellales","Selaginellaceae","Selaginella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spike-moss, Wallace's spikemoss","Unconfirmed","Selaginella wallacei","63875",NA,NA
"Selasphorus calliope","Bird","Metazoa","Chordata","Aves","Trochiliformes","Trochilidae","Selasphorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calliope Hummingbird","Present","Stellula calliope","199914","Selasphorus calliope","Selasphorus calliope"
"Selasphorus rufus","Bird","Animalia","Chordata","Aves","Caprimulgiformes","Trochilidae","Selasphorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rufous Hummingbird","Present","Selasphorus rufus","6363",NA,NA
"Selasphorus sasin","Bird","Animalia","Chordata","Aves","Caprimulgiformes","Trochilidae","Selasphorus",8,6,6359,0,2,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,3,"Allen's Hummingbird","Present","Selasphorus sasin","6359",NA,NA
"Senecio aronicoides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Senecio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butterweed","Present","Senecio aronicoides","53206",NA,NA
"Senecio glomeratus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Senecio",1,1,60981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"lobed-leaf Australian fireweed","Present","Senecio glomeratus","60981",NA,NA
"Senecio minimus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Senecio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"toothed Australian fireweed","Present","Senecio minimus","60980",NA,NA
"Senecio sylvaticus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Senecio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wood Groundsel","Present","Senecio sylvaticus","53210",NA,NA
"Senecio vulgaris","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Senecio",1,1,53211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Common Groundsel","Present","Senecio vulgaris","53211",NA,NA
"Sequoia sempervirens","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Sequoia",1,1,47372,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"Redwood","Present","Sequoia sempervirens","47372",NA,NA
